Name,Weight,Category
宝玉,3856,1
贾母,2407,2
凤姐,1604,3
黛玉,1467,5
王夫人,1011,3
宝钗,958,4
贾琏,682,1
贾政,663,1
薛姨妈,453,4
探春,433,1
紫鹃,406,5
贾珍,285,1
邢夫人,284,1
尤氏,267,1
薛蟠,238,4
贾蓉,176,1
周瑞家的,169,3
惜春,150,1
林之孝,143,5
迎春,140,1
贾芸,140,1
赵姨娘,132,1
金桂,128,4
妙玉,123,5
贾环,116,1
宝琴,107,4
雪雁,105,5
