word, freq
和芳官,5
静静,5
王信,5
邢德全,5
金桂笑,5
古圣贤,5
那太监,5
吴大人,5
张三,5
那巧姐儿,5
那五儿,5
丁忧,5
秦鲸卿,4
贾元春,4
凤藻宫,4
杨妃,4
小丑,4
田庄,4
甄家娘子,4
加恩,4
萧疏,4
太君,4
令尊,4
方得,4
柳叶,4
过荣府,4
荣禧堂,4
伏侍贾,4
白玉,4
贾府之,4
沙弥,4
华丽,4
秦氏笑,4
神仙姐姐,4
鸿蒙,4
朱楼,4
那板儿,4
太老爷,4
努嘴儿,4
那香菱,4
尤氏凤,4
贾蓉送,4
言少述,4
张嘴,4
贾代儒,4
浮萍,4
小学生,4
贾珍想,4
贾璜,4
过谦,4
贾琼,4
贾珍见,4
侍卫,4
过宁府,4
侯之孙,4
钟爱,4
安灵,4
公侯伯,4
夏守忠,4
贾琏方,4
贾琏自,4
贾蔷忙,4
和暖,4
翠竹,4
古人云,4
红香绿,4
宝钗亦,4
贾政未,4
荣宁二府,4
阿物儿,4
史大妹妹,4
老虎,4
薛妹妹,4
贾母亦,4
兰哥,4
贾琏先,4
那红玉,4
宝钗宝玉,4
周瑞媳妇,4
那世里,4
胡子,4
符儿,4
仁慈,4
香甜,4
蘸笔,4
傅秋芳,4
宋妈妈,4
凡百,4
洛神,4
贾母凤,4
洪福,4
玉钏,4
小儿子,4
梅翰林,4
麻黄,4
赖升,4
贾母歪,4
宝钗房,4
蒋家,4
艾官,4
续弦,4
春燕笑,4
柳家媳妇,4
和晴雯,4
耶律雄奴,4
柳兄,4
嘉荫,4
北静王妃,4
老东西,4
问凤姐,4
佩凤道,4
贾琏宝玉,4
金桂便,4
金桂见,4
王尔调,4
吴良,4
金刚经,4
贾兰便,4
封书子,4
贾化,4
世爻,4
老仙翁,4
赵老爷,4
贾母灵,4
何三,4
帝老爷,4
寿辰,3
林潇湘,3
余香,3
柳叶渚,3
五美吟,3
杜绝,3
天恩祖,3
修竹,3
冉冉,3
本贯,3
盘桓,3
巧遇,3
同宗,3
贾珠,3
文雅,3
扶黛玉,3
黛玉方,3
养荣丸,3
青绿,3
乌木,3
西江月,3
舍不得你,3
王嬷嬷,3
黛玉同,3
李氏房,3
小沙弥,3
宦之家,3
老家人,3
须得先,3
比黛玉,3
胡思,3
乌云,3
宫闱,3
爱慕,3
宝鼎,3
王孙公子,3
余庆,3
赫赫,3
桂圆汤,3
宁荣街,3
延师,3
单聘仁,3
向莺儿,3
森森,3
古文,3
李贵道,3
黛玉才,3
高有德,3
布满,3
薛蟠本,3
薛大叔,3
马来,3
燕窝汤,3
子话儿,3
贾珍先,3
平郡王,3
靖侯史,3
天香楼,3
贾瑞笑,3
胡涂,3
向东,3
文契,3
白昼,3
贾政亦,3
高僧,3
小犬,3
贾珍命,3
秦氏恭,3
朱红,3
公冢孙,3
明言,3
闻人,3
王兴媳妇,3
贺礼,3
碧玉,3
小王,3
敬贺,3
同凤姐,3
游顽,3
肯回去,3
来旺儿,3
比人强,3
侍奉,3
太上皇,3
皇太后,3
日贾珍,3
顾一望,3
清芬,3
诸凡,3
蓬莱,3
银锞子,3
东府珍,3
飞也似,3
梅花香,3
慈善,3
米汤,3
敬爱,3
寻黛玉,3
贾母赏,3
宝钗原,3
乐一乐,3
白花花,3
焦雷,3
贾二爷,3
贾芸见,3
檀云,3
钟茶来,3
恨宝玉,3
