word, freq
雨村,36
子兴道,9
老爹,9
小姐,6
冷子兴,5
金陵,5
林如海,4
荣国府,3
祖母,3
本贯,2
贾氏,2
老先生,2
同宗,2
子兴笑,2
贾府中,2
萧疏,2
贾政,2
甄家,2
甄府,2
贾府,2
贾夫人,1
甄爷,1
何兆,1
贾名化,1
胡州,1
那丫头,1
那雨村,1
闻得今,1
隆恩,1
盛德,1
加恩,1
科第,1
子孙,1
侍汤奉,1
郭外,1
林深竹,1
龙钟,1
老僧,1
那老僧,1
古董,1
斯文,1
盘桓,1
巧遇,1
贾复,1
荣耀,1
宁荣,1
轩峻,1
花园子,1
荣二宅,1
荣国公,1
贾代化,1
贾敷,1
贾珍,1
贾蓉,1
王氏,1
贾珠,1
子兴,1
太君,1
若大,1
王莽,1
曹操,1
桓温,1
安禄山,1
秦桧,1
薄祚,1
陶潜,1
阮籍,1
嵇康,1
刘伶,1
陈后主,1
唐明皇,1
宋徽宗,1
刘庭芝,1
温飞卿,1
石曼卿,1
秦少游,1
倪云林,1
唐伯虎,1
祝枝山,1
李龟,1
黄幡绰,1
卓文君,1
薛涛,1
崔莺,1
王侯,1
唐突,1
但凡,1
文雅,1
令尊,1
老夫,1
孙女,1
贾敏,1
玉儿,1
贾琏,1
王氏之,1
