word, freq
贾妃,31
贾母,28
王夫人,14
贾政,12
林黛玉,12
薛宝钗,7
贾蔷,5
元妃,5
凤姐,4
邢夫人,4
薛姨妈,3
林之孝,3
小太监,3
天恩,3
尤氏,3
红香绿,3
宝钗亦,2
尼姑,2
妙玉,2
陈设,2
齐备,2
贾府,2
诸公,2
清芬,2
薛林,2
光辉,2
盛世,2
何幸,2
绿玉,2
贾兰,2
贾环,2
贾蔷忙,2
管姊弟,1
汪汪,1
诸凡,1
老嬷嬷,1
小丫头,1
贝叶,1
牟尼院,1
妙玉本,1
扶灵,1
侯门公,1
小姐,1
相公,1
古董,1
孔雀,1
贾政方,1
贾宅,1
宝灵宫,1
大明宫,1
金黄,1
青埂峰,1
富丽,1
柳杏,1
诸树,1
桂楫兰,1
苟且,1
柳垂金,1
长姊,1
诸弟,1
祖母,1
贾政闻,1
贾政未,1
巧遇,1
小舟,1
桂殿,1
侍太监,1
太君,1
车驾,1
贾母正,1
田舍,1
布帛,1
贾政亦,1
祖宗,1
千秋,1
苍生之,1
隆恩,1
顾恩思,1
玉蘅芷,1
诸如,1
秋风,1
诸景备,1
斯景,1
惜三人,1
蓬莱,1
凝晖,1
钟瑞,1
高柳喜,1
凤来仪,1
恩宠,1
绿玉春,1
金殿,1
赵钱孙,1
续成,1
秀玉初,1
凤凰,1
莫摇清,1
桑榆,1
燕子,1
花香,1
