word, freq
贾珍,33
凤姐,18
王夫人,14
邢夫人,7
戴权,6
龙禁尉,5
秦氏,5
贾母,4
尤氏,4
贾蓉,4
贾政,3
贾珍见,3
宝珠,3
保永全,2
钱粮,2
贾代儒,2
贾琛,2
贾琼,2
贾蔷,2
贾珍便,2
于会芳,2
贾门,2
秦氏恭,2
侍卫,2
司正堂,2
秦可卿,1
水满,1
敬畏,1
保无虞,1
莫若,1
田庄,1
子孙,1
荣华,1
诸芳,1
闻听,1
冷汗,1
和睦,1
慈爱,1
慈老,1
言少叙,1
林黛玉,1
肯依,1
白昼,1
贾效,1
贾敦,1
贾琮,1
贾珩,1
贾菱,1
贾芸,1
贾芹,1
贾蓁,1
贾萍,1
贾藻,1
贾蘅,1
贾芬,1
贾芳,1
贾兰,1
贾菌,1
贾芝,1
秦钟,1
司来,1
天香楼,1
高僧,1
贾敬闻,1
金玉,1
薛蟠笑,1
代秦氏,1
贾珍遂,1
孙女,1
小姐,1
大明宫,1
轩献茶,1
老三,1
江宁府,1
曾祖,1
任京营,1
贾代化,1
小犬,1
靖侯史,1
川宁侯,1
贾珍命,1
朱红,1
内廷紫,1
公冢孙,1
万虚,1
叶生,1
伽蓝,1
普锡,1
明言,1
闻人,1
独凤姐,1
孙子,1
屈尊,1
何曾,1
从小儿,1
那凤姐,1
向贾珍,1
须得先,1
金紫,1
