word, freq
秦氏,9
贾母,6
金陵,6
林黛玉,5
薛宝钗,5
宁荣二,3
余庆,3
云雨,3
比黛玉,2
小丫头,2
贾蓉之,2
宝叔,2
秦氏笑,2
清香,2
鸿蒙,2
绮罗,2
禄高登,2
薛家,1
荣府内,1
孙女,1
和黛玉,1
况自,1
黛玉同,1
宁府中,1
梅花,1
贾珍之,1
尤氏乃,1
邢夫人,1
王夫人,1
贾母素,1
练达,1
华丽,1
唐伯虎,1
秦太虚,1
武则天,1
盘内盛,1
安禄山,1
寿昌,1
于含章,1
朱栏白,1
师傅,1
胡思,1
山后,1
云散,1
云堆,1
楚楚,1
之辉辉,1
容兮,1
美彼之,1
春梅,1
秋菊,1
松生,1
王嫱,1
布散,1
采仙茗,1
大书云,1
古今之,1
肯依,1
乌云,1
空云,1
桂花,1
生孤木,1
香橼,1
宫闱,1
楚云飞,1
美玉,1
何曾洁,1
金玉,1
花柳,1
侯门,1
爱慕,1
云贵,1
刘氏,1
巧得遇,1
高明,1
宁府,1
公之灵,1
子孙,1
灵慧,1
尔何,1
宝林,1
宝鼎,1
痴梦,1
甘冽,1
凤乳,1
金悼玉,1
金玉良,1
石前盟,1
苑仙葩,1
荣华,1
黄泉,1
云散高,1
美如兰,1
才华,1
过洁世,1
古殿,1
朱楼,1
侯门艳,1
蒲柳,1
那三春,1
