word, freq
贾母,43
贾珍,28
贾蓉,15
尤氏,12
乌进孝,9
邢夫人,8
王夫人,7
贾芹,7
宗祠,6
凤姐,6
薛姨妈,5
祖宗,4
贾敬,4
荣国府,3
贾蓉之,3
贾敬贾,3
贾珍便,2
黄布,2
荣国公,2
凤姑娘,2
和尚,2
宫朝贺,2
宁府,2
宁荣二,2
列祖,2
贾荇贾,2
慧绣,2
慧纹,2
贾芸,2
贾菱,2
贾菌,2
林之孝,2
小丫头,1
王太医,1
贾宅,1
宋妈,1
李纹李,1
绮家,1
王子腾,1
贾雨村,1
宁府中,1
梅花,1
尤氏命,1
银锞子,1
天恩,1
贾源,1
恩赐,1
龙禁尉,1
侍卫,1
朱笔,1
贾蓉忙,1
赖升,1
小姐,1
荣贵,1
熊掌,1
鹿筋,1
米二石,1
白兔,1
贾珍命,1
托爷,1
雪大,1
庄子,1
古董,1
连盖,1
花园子,1
柏木,1
向贾珍,1
贾蓉送,1
过荣府,1
贾珍之,1
小叔叔,1
王爷,1
齐备,1
朱红,1
金龙,1
贾氏,1
白石,1
青绿,1
古铜鼎,1
星辉,1
有光昭,1
承福德,1
念荣宁,1
贾府,1
贾琏贾,1
三献爵,1
张护,1
贾母方,1
东向立,1
贾蓉方,1
丹墀,1
老祖母,1
侍贾母,1
贾母正,1
松柏,1
老嬷嬷,1
屠苏酒,1
吉祥,1
千秋,1
日贾珍,1
