word, freq
贾珍,11
贾蓉,10
林之孝,9
尤氏,7
佩凤,5
贾敬,4
小燕,3
关了门,3
老婆子,3
燕四儿,3
尤二姐,3
柳嫂子,2
天亮,2
王妃,2
李氏,2
香梦,2
同庚,2
老嬷嬷,2
妙玉,2
方笑,2
玄真观,2
子孙,2
贾蓉笑,2
寿怡红,1
金丹独,1
秋纹,1
绍兴酒,1
花梨,1
和芳官,1
红青,1
柳绿,1
小玉,1
塞子,1
左耳,1
越显,1
秋水,1
小燕笑,1
宝林,1
和宝琴,1
向宝钗,1
唐诗,1
翠凤,1
毛翎,1
黄龙,1
向东,1
云霞,1
边红杏,1
史湘云,1
老梅,1
石凉,1
醉卧,1
连理枝,1
别景,1
向探春,1
薛姨妈,1
过沁芳,1
小曲儿,1
官醉,1
黑甜,1
那芳官,1
平儿忙,1
玉恭肃,1
寻黛玉,1
焦雷,1
梅花,1
常赞文,1
庄子,1
碧青,1
盘云,1
晋唐诸,1
仁孝,1
赫赫,1
格天,1
小丑,1
习弓马,1
宁静,1
贾府,1
马匹,1
涂朱,1
红香圃,1
游顽,1
宝石,1
言少述,1
甄家,1
宾天,1
贾琏,1
玄教,1
望老爷,1
贾珍方,1
寿木,1
贾珩,1
贾菱,1
王公,1
贾府中,1
谢恩,1
闻声,1
小家子,1
尤三姐,1
贾蓉忙,1
大老爷,1
