word, freq
薛蟠,29
王一贴,16
薛姨妈,11
王夫人,9
薛宝钗,6
金桂笑,5
孙绍祖,4
贾母,4
李贵,4
小舍儿,3
邢夫人,3
清香,2
兰花,2
桂花,2
金桂便,2
从小儿,2
秋菱,2
薛蟠自,2
安逸,2
薛家,2
钱粮,2
老王,2
大老爷,2
王道士,1
闻见香,1
花香,1
若静,1
芦根,1
花之香,1
宝钗亦,1
小丫头,1
年庚,1
薛蟠见,1
但凡,1
小老婆,1
胡涂,1
宁荣二,1
盼明,1
老嬷嬷,1
宁荣,1
小爷,1
香熏,1
宾客,1
温凉,1
养荣卫,1
胡子,1
寻思,1
陈皮,1
和睦,1
曹雪芹,1
占旺相,1
严词,1
宫闱,1
贾元妃,1
贾环重,1
贾存,1
郎中,1
薛文起,1
博庭欢,1
孤儿,1
贾珍,1
小郎,1
慕贤良,1
母珠贾,1
甄家仆,1
水月庵,1
贾母赏,1
通灵知,1
凤姐,1
林黛玉,1
醉金刚,1
贾太君,1
贾母明,1
天恩,1
候芳魂,1
史太君,1
王凤姐,1
妙尼,1
凤历幻,1
金陵,1
甄应嘉,1
蒙恩,1
惜春矢,1
双护玉,1
子独承,1
却尘缘,1
贾家,1
延世泽,1
甄士隐,1
贾雨村,1
