word, freq
林黛玉,52
贾母,39
王夫人,20
邢夫人,7
贾政,4
老嬷嬷,4
那玉,4
林如海,3
金陵,3
石青,3
杜撰,3
王嬷嬷,3
张如圭,2
冷子兴,2
周全,2
荣国府,2
紫檀,2
黛玉方,2
贾政之,2
金百蝶,2
熙凤道,2
银红,2
安静,2
通灵,2
李嬷嬷,2
贾雨村,1
岳母,1
子兴,1
方愈,1
汝父,1
顾盼,1
扶危,1
石狮子,1
扶黛玉,1
太君,1
尚小,1
何药,1
和尚,1
养荣丸,1
双衡,1
丹凤,1
柳叶,1
含春威,1
丹唇,1
凤辣子,1
黛玉正,1
贾琏,1
王氏之,1
孙女,1
熙凤亲,1
邢氏,1
过荣府,1
轩峻,1
容谅,1
鹿顶,1
轩昂,1
荣禧堂,1
荣国公,1
贾源,1
青绿,1
古铜鼎,1
乌木,1
安郡王,1
穆莳拜,1
秋香色,1
梅花,1
陈设,1
小幺儿,1
南北宽,1
贾珠之,1
李氏,1
贾母正,1
熙凤忙,1
惜春右,1
惜福,1
方引凤,1
李二人,1
齐眉,1
龙抢珠,1
小朝,1
秋波,1
美玉,1
黑亮,1
西江月,1
韶光,1
西子胜,1
何曾,1
和睦,1
莫若,1
问黛玉,1
祖宗,1
小丫头,1
伏侍贾,1
薛家,1
薛蟠,1
王子腾,1
