Name,Weight
宝玉,3856
贾母,2407
凤姐,1604
黛玉,1467
王夫人,1011
宝钗,958
贾琏,682
贾政,663
薛姨妈,453
探春,433
紫鹃,406
贾珍,285
邢夫人,284
尤氏,267
薛蟠,238
贾蓉,176
周瑞家的,169
惜春,150
林之孝,143
迎春,140
贾芸,140
赵姨娘,132
金桂,128
妙玉,123
贾环,116
宝琴,107
雪雁,105
